id,tag,title,year
46,journals/vc/Magnenat-Thalmann16e,"Erratum to: Preface.",2016
47,journals/vc/LuHJJKM17,"Marbling-based creative modelling.",2017
48,journals/vc/GomesV95,"Abstraction paradigms for computer graphics.",1995
49,journals/vc/Szirmay-KalosMT17,"Volume enhancement with externally controlled anisotropic diffusion.",2017
50,journals/vc/GrimmJPH09,"Adaptive smooth surface fitting with manifolds.",2009
51,journals/vc/ChenON05,"Character animation creation using hand-drawn sketches.",2005
52,journals/vc/Sourin16,"Preface to the special section on Cyberworlds 2015.",2016
53,journals/vc/ZhaoK12,"Structure revealing techniques based on parallel coordinates plot.",2012
54,journals/vc/FishkinB85,"Algorithms for brush movement.",1985
55,journals/vc/LiZY15,"Iris recognition based on a novel variation of local binary pattern.",2015
56,journals/vc/HuaQ04,"Scalar-field-guided adaptive shape deformation and animation.",2004
57,journals/vc/CampagnaSS97,"Ray tracing of spline surfaces: Bézier clipping, Chebyshev boxing, and bounding volume hierarchy - a critical comparison with new results.",1997
58,journals/vc/DeanLS88,"Recognizing polygons, or how to spy.",1988
59,journals/vc/LiWK03,"Implementing lattice Boltzmann computation on graphics hardware.",2003
60,journals/vc/LiuYAM13,"Constraint-aware interior layout exploration for pre-cast concrete-based buildings.",2013
61,journals/vc/GreinerG00,"Hierarchical tetrahedral-octahedral subdivision for volume visualization.",2000
62,journals/vc/FaruquieBK11,"Latent topic model-based group activity discovery.",2011
63,journals/vc/NiederbergerG05,"Level-of-detail for cognitive real-time characters.",2005
64,journals/vc/ZhaoJJDL18,"Constant time texture filtering.",2018
65,journals/vc/BadlerKKRB85,"Positioning and animating human figures in a task-oriented environment.",1985
66,journals/vc/PassosW09,"3D virtual mosaics: Opus Palladium and mixed styles.",2009
67,journals/vc/PavicSK06,"Interactive image completion with perspective correction.",2006
68,journals/vc/MiandjiMSE09,"Real-time multi-band synthesis of ocean water with new iterative up-sampling technique.",2009
69,journals/vc/HuKHZ17,"Scanning and animating characters dressed in multiple-layer garments.",2017
70,journals/vc/Skala05,"A new approach to line and line segment clipping in homogeneous coordinates.",2005
71,journals/vc/BiniB14,"A nonlinear level set model for image deblurring and denoising.",2014
72,journals/vc/Acar09,"Simulation of interface dynamics: a diffuse-interface model.",2009
73,journals/vc/AncutiHMB08,"Video enhancement using reference photographs.",2008
74,journals/vc/Kunii05,"The genesis of 'The Visual Computer'.",2005
75,journals/vc/WangCLZG17,"Object tracking by color distribution fields with adaptive hierarchical structure.",2017
76,journals/vc/ZhaoWCJ11,"Parallel and efficient Boolean on polygonal solids.",2011
77,journals/vc/SimionescuB04,"Visualization of hypersurfaces and multivariable (objective) functions by partial global optimization.",2004
78,journals/vc/ThalmannTP16,"CGI 2016 Editorial (TVCJ).",2016
79,journals/vc/SuarezBB17,"Real-time 3D rendering with hatching.",2017
80,journals/vc/AhmadianG13,"A multi-modal approach for high-dimensional feature recognition.",2013
81,journals/vc/JeongKPL08,"Digital shallow depth-of-field adapter for photographs.",2008
82,journals/vc/SpechtLZ07,"Visualizing shape transformation between chimpanzee and human braincases.",2007
83,journals/vc/PriceB06,"Object-based vectorization for interactive image editing.",2006
84,journals/vc/SipiranB13,"Key-components: detection of salient regions on 3D meshes.",2013
85,journals/vc/BaranoskiRX01,"Virtual spectrophotometric measurements for biologically and physically based rendering.",2001
86,journals/vc/LingLWSL16,"Adaptive transmission compensation via human visual system for efficient single image dehazing.",2016
87,journals/vc/CorsoFMB17,"Interactive directional subsurface scattering and transport of emergent light.",2017
88,journals/vc/KaoH18,"Exploring hidden coherency of Ray-Tracing for heterogeneous systems using online feedback methodology.",2018
89,journals/vc/ReifW08,"Augmented & Virtual Reality applications in the field of logistics.",2008
90,journals/vc/YuK17,"Data-driven subspace enrichment for elastic deformations with collisions.",2017
91,journals/vc/TruongBZ16,"Laban descriptors for gesture recognition and emotional analysis.",2016
92,journals/vc/KuschelFFB08,"Visual-haptic perception of compliant objects in artificially generated environments.",2008
93,journals/vc/HanZWGBZG06,"Fast example-based surface texture synthesis via discrete optimization.",2006
94,journals/vc/Pickover88a,"Chaotic behavior of the transcendental mapping (z cosh(z) + µ).",1988
95,journals/vc/OnoderaK86,"A formalization for the specification and systematic generation of computer graphics systems.",1986
96,journals/vc/YangZ13,"Shape aware normal interpolation for curved surface shading from polyhedral approximation.",2013
97,journals/vc/WangCWLCHPB08,"Real-time editing and relighting of homogeneous translucent materials.",2008
98,journals/vc/SandholmSPZVT11,"Evaluation of a geometry-based knee joint compared to a planar knee joint.",2011
99,journals/vc/SchettiniVA92,"Color specification by visual interaction.",1992
100,journals/vc/HenzO17,"Artistic relighting of paintings and drawings.",2017
101,journals/vc/BasdoganO08,"A new feature-based method for robust and efficient rigid-body registration of overlapping point clouds.",2008
102,journals/vc/ChenT10,"A fully geometric approach for developable cloth deformation simulation.",2010
103,journals/vc/WuL13,"Robust image metamorphosis immune from ghost and blur.",2013
104,journals/vc/GreenbergCT86,"Radiosity: A method for computing global illumination.",1986
105,journals/vc/ZhongkeFS03,"Tunnel-free voxelisation of rational Bézier surfaces.",2003
106,journals/vc/VenetilloF07,"GPU-based particle simulation with inter-collisions.",2007
107,journals/vc/BottcherAW10,"Multi-rate coupling of physical simulations for haptic interaction with deformable objects.",2010
108,journals/vc/Anjyo91,"Semi-globalization of stochastic spectral synthesis.",1991
109,journals/vc/Xie95,"Feature matching and affine transformation for 2D cell animation.",1995
110,journals/vc/Pobegailo92,"Geometric modeling of curves using weighted linear and circular segments.",1992
111,journals/vc/ShenJMF06,"Completion-based texture design using deformation.",2006
112,journals/vc/SerinSB13,"Representational image generation for 3D objects.",2013
113,journals/vc/OkabeDA18,"Animating pictures of water scenes using video retrieval.",2018
114,journals/vc/GamitoM07,"Ray casting implicit fractal surfaces with reduced affine arithmetic.",2007
115,journals/vc/OkadaT98,"Collaborative environments of IntelligentBox for distributed 3D graphics applications.",1998
116,journals/vc/YuR99,"Fast triangular mesh approximation of surface data using wavelet coefficients.",1999
117,journals/vc/ZhaoZLLG17,"Structural sparse representation-based semi-supervised learning and edge detection proposal for visual tracking.",2017
118,journals/vc/SongJ12,"Matching sequences of salient contour points characterized by Voronoi region features.",2012
119,journals/vc/XuH03,"Automatic surface reconstruction with alpha-shape method.",2003
120,journals/vc/YouZC04,"Blending surface generation using a fast and accurate analytical solution of a fourth-order PDE with three shape control parameters.",2004
121,journals/vc/OhAW06,"Low damped cloth simulation.",2006
122,journals/vc/PredaVMLB08,"A model for adapting 3D graphics based on scalable coding, real-time simplification and remote rendering.",2008
123,journals/vc/WuJS15,"Real-time multi-scale tracking based on compressive sensing.",2015
124,journals/vc/ChionhG92,"Using multivariate resultants to find the implicit equation of a rational surface.",1992
125,journals/vc/PangH10,"Interactive evolutionary 3D fractal modeling.",2010
126,journals/vc/BernabeiGPCPS10,"Real-time single scattering inside inhomogeneous materials.",2010
127,journals/vc/ChiGZ17,"Interactive facial expression editing based on spatio-temporal coherency.",2017
128,journals/vc/DasMSKG11,"Automated cell classification and visualization for analyzing remyelination therapy.",2011
129,journals/vc/SlaterB94,"2D line and polygon clipping based on space subdivision.",1994
130,journals/vc/RemionNN01,"d-Dimensional parametric models for dynamic animation of deformable objects.",2001
131,journals/vc/GiesenCPZ06,"The conformal alpha shape filtration.",2006
132,journals/vc/LiuTCCZ16,"Mesh saliency detection via double absorbing Markov chain in feature space.",2016
133,journals/vc/Cohen-SteinerD04,"A greedy Delaunay-based surface reconstruction algorithm.",2004
134,journals/vc/BanterleLDCB07,"A framework for inverse tone mapping.",2007
135,journals/vc/Park03,"Polygonal extrusion.",2003
136,journals/vc/BergenR12,"Automatic and interactive evolution of vector graphics images with genetic algorithms.",2012
137,journals/vc/RuedaRO05,"Layer-based decomposition of solids and its applications.",2005
138,journals/vc/KanedaHNYS87,"Reconstruction and semi-transparent display method for observing inner structure of an object consisting of multiple surfaces.",1987
139,journals/vc/X02,"Editorial to the Special Issue on WSCG'01.",2002
140,journals/vc/Earnshaw87,"The mathematics of computer graphics.",1987
141,journals/vc/DanelakisTP16,"A robust spatio-temporal scheme for dynamic 3D facial expression retrieval.",2016
142,journals/vc/WangLHZDH14,"Railroad online: acquiring and visualizing route panoramas of rail scenes.",2014
143,journals/vc/Trivedi89,"Hindu temples: models of a fractal universe.",1989
144,journals/vc/ErsotelosD08,"Building highly realistic facial modeling and animation: a survey.",2008
145,journals/vc/GhoshMPM94,"An algorithm for recognizing palm polygons.",1994
146,journals/vc/JiaHM05,"Video completion using tracking and fragment merging.",2005
147,journals/vc/Magnenat-Thalmann16b,"Preface.",2016
148,journals/vc/ShimAKRRSGK12,"Time-of-flight sensor and color camera calibration for multi-view acquisition.",2012
149,journals/vc/CorreiaR06,"Storing user experiences in mixed reality using hypermedia.",2006
150,journals/vc/DengZGLZ18,"Point-pattern matching based on point pair local topology and probabilistic relaxation labeling.",2018
151,journals/vc/KanedaIIN92,"Image processing and synthesis for extended depth of field of optical microscopes.",1992
152,journals/vc/GiachettiIG16,"Multiscale descriptors and metric learning for human body shape retrieval.",2016
153,journals/vc/XieLGCM12,"A gradient-domain-based edge-preserving sharpen filter.",2012
154,journals/vc/QiaoFSWW15,"Structure-aware QR Code abstraction.",2015
155,journals/vc/AkdemirOGS98,"Right-triangular subdivision for texture mapping ray-traced objects.",1998
156,journals/vc/AllerkampBWBQS07,"A vibrotactile approach to tactile rendering.",2007
157,journals/vc/BerzinH02,"Minimal area for surface reconstruction from cross sections.",2002
158,journals/vc/XiaoGH13,"Fast level set image and video segmentation using new evolution indicator operators.",2013
159,journals/vc/YasseenVN17,"View selection for sketch-based 3D model retrieval using visual part shape description.",2017
160,journals/vc/JungKLKL17,"Robust upright adjustment of 360 spherical panoramas.",2017
161,journals/vc/ChuangHKH98,"Adaptive polygonization of geometrically constrained surfaces.",1998
162,journals/vc/KrugerSW06,"Compression and rendering of iso-surfaces and point sampled geometry.",2006
163,journals/vc/AlliezLSS03,"Efficient view-dependent refinement of 3D meshes using sqrt{3}-subdivision.",2003
164,journals/vc/ChangLKH98,"Direct manipulation of generalized cylinders based on B-spline motion.",1998
165,journals/vc/ZhangLYZS10,"Local albedo-insensitive single image dehazing.",2010
166,journals/vc/YangLWXLJJ16,"Visual saliency guided textured model simplification.",2016
167,journals/vc/TeramotoPI10,"Interactive motion photography from a single image.",2010
168,journals/vc/Magnenat-Thalmann09a,"Editorial.",2009
169,journals/vc/Magnenat-Thalmann14d,"Erratum to: Editorial.",2014
170,journals/vc/ImagireJTN07,"Anti-aliased and real-time rendering of scenes with light scattering effects.",2007
171,journals/vc/Schwartz93,"Piero della Francesca and the computer: analysis, reconstruction, and inheritance.",1993
172,journals/vc/NieZWX13,"Video retargeting combining warping and summarizing optimization.",2013
173,journals/vc/NaJ11,"Local shape blending using coherent weighted regions.",2011
174,journals/vc/LiuWSZS18,"Rotation-invariant object detection using Sector-ring HOG and boosted random ferns.",2018
175,journals/vc/HuangX10,"Example-based contrast enhancement by gradient mapping.",2010
176,journals/vc/XiaoJNWSM15,"Content-aware model resizing with symmetry-preservation.",2015
177,journals/vc/TianHDB10,"Adaptive voxels: interactive rendering of massive 3D models.",2010
178,journals/vc/ZhangQLSHS18,"Uncertainty visualization for variable associations analysis.",2018
179,journals/vc/LengenMMH98,"Shadow generation for volumetric data sets.",1998
180,journals/vc/SerraR90,"Low-cost hardware platform for developing realtime 3D graphics.",1990
181,journals/vc/WangWXP06,"Real-time snowing simulation.",2006
182,journals/vc/LeeH10,"Solving the Shallow Water equations using 2D SPH particles for interactive applications.",2010
183,journals/vc/Trivedi86,"Interactive manipulation of three dimensional binary scenes.",1986
184,journals/vc/ThalmannZZW12,"Editorial.",2012
185,journals/vc/VuciniMG08,"Efficient reconstruction from non-uniform point sets.",2008
186,journals/vc/FrederickS90,"Brain peeling: viewing the inside of a laminar three-dimensional solid.",1990
187,journals/vc/RosenP11,"An evaluation of 3-D scene exploration using a multiperspective image framework.",2011
188,journals/vc/WolbergZ18,"PhotoSketch: a photocentric urban 3D modeling system.",2018
189,journals/vc/HillPW88,"Animating speech: an automated approach using speech synthesised by rules.",1988
190,journals/vc/DineshaAN12,"Uncertainty visualization using HDR volume rendering.",2012
191,journals/vc/LimKH16,"Water simulation using a responsive surface tracking for flow-type changes.",2016
192,journals/vc/Wejchert92,"Images of the rose.",1992
193,journals/vc/ZhangLSM14,"Transform invariant text extraction.",2014
194,journals/vc/Chevrier97,"A view interpolation technique taking into account diffuse and specular inter-reflections.",1997
195,journals/vc/HulusicDAC11,"Maintaining frame rate perception in interactive environments by exploiting audio-visual cross-modal interaction.",2011
196,journals/vc/DarknerE11,"A hyper elasticity method for interactive virtual design of hearing aids - A parallel method for general non-linear hyper elasticity modeling.",2011
197,journals/vc/PandzicOM99,"User evaluation: Synthetic talking faces for interactive services.",1999
198,journals/vc/AkkoucheG04,"Implicit surface reconstruction from contours.",2004
199,journals/vc/FarkasPSKP16,"Dynamic 3-D computer graphics for designing a diagnostic tool for patients with schizophrenia.",2016
200,journals/vc/JinTZ09,"Implicit modeling from polygon soup using convolution.",2009
201,journals/vc/ZhangZQW11,"Skeleton-based control of fluid animation.",2011
202,journals/vc/ZhangWWYCP10,"Real-time foveation filtering using nonlinear Mipmap interpolation.",2010
203,journals/vc/CelikcanCKC13,"Attention-Aware Disparity Control in interactive environments.",2013
204,journals/vc/ReitmayrCRW99,"DeepMatrix - An open technology based virtual environment system.",1999
205,journals/vc/IpY96,"Constructing a 3D individualized head model from two orthogonal views.",1996
206,journals/vc/Magnenat-Thalmann14c,"Editorial.",2014
207,journals/vc/LanYHG17,"Medial-axis-driven shape deformation with volume preservation.",2017
208,journals/vc/SahamiA13,"Matrix based cyclic spectral estimator for fast and robust texture classification.",2013
209,journals/vc/GuntherFSS06,"Interactive ray tracing of skinned animations.",2006
210,journals/vc/LiuWZ12,"KD-tree based parallel adaptive rendering.",2012
211,journals/vc/VaisBW13,"Complex line bundle Laplacians.",2013
212,journals/vc/HeIFC09,"Mr-SDM: a novel statistical deformable model for object deformation.",2009
213,journals/vc/ChengMHH14,"SalientShape: group saliency in image collections.",2014
214,journals/vc/ImagireJN09,"A fast method for simulating destruction and the generated dust and debris.",2009
215,journals/vc/LiuLASP09,"Physically based simulation of thin-shell objects' burning.",2009
216,journals/vc/XiaWCY10,"Lazy texture selection based on active learning.",2010
217,journals/vc/ZhengNCT09,"Toward a higher-level visual representation for object-based image retrieval.",2009
218,journals/vc/NoserT98,"Sensor-based synthetic actors in a tennis game simulation.",1998
219,journals/vc/LiPLCC16,"Facial age estimation by using stacked feature composition and selection.",2016
220,journals/vc/SchersonC87,"Data structures and the time complexity of ray tracing.",1987
221,journals/vc/RasoolS13,"Image-driven virtual simulation of arthroscopy.",2013
222,journals/vc/AcostaL12,"A pipeline virtual environment architecture for multicore processor systems.",2012
223,journals/vc/WuhrerB10,"Segmenting animated objects into near-rigid components.",2010
224,journals/vc/SbertHSE18,"Multiple importance sampling characterization by weighted mean invariance.",2018
225,journals/vc/BarutH15,"Real-time collision-free linear trajectory generation on GPU for crowd simulations.",2015
226,journals/vc/Ghali09,"Sense and sidedness in the graphics pipeline via a passage through a separable space.",2009
227,journals/vc/KangJCH15,"Multi-resolution terrain rendering with GPU tessellation.",2015
228,journals/vc/SoucyGR96,"A texture-mapping approach for the compression of colored 3D triangulations.",1996
229,journals/vc/X18,"Acknowledgments to reviewers 2017.",2018
230,journals/vc/LuZZZ18,"Real-time 3D scene reconstruction with dynamically moving object using a single depth camera.",2018
231,journals/vc/PronostST11,"A visualization framework for the analysis of neuromuscular simulations.",2011
232,journals/vc/SharmaA11,"Homotopy-based surface reconstruction with application to acoustic signals.",2011
233,journals/vc/BiscaroFNO07,"A topological approach for surface reconstruction from sample points.",2007
234,journals/vc/RamakrishnanandaW99,"Animating bird flight using aerodynamics.",1999
235,journals/vc/JiangSIG14,"Optimizing redundant-data clustering for interactive walkthrough applications.",2014
236,journals/vc/JiFWM16,"Efficient decolorization preserving dominant distinctions.",2016
237,journals/vc/McDonnellCQ04,"Interpolatory, solid subdivision of unstructured hexahedral meshes.",2004
238,journals/vc/WongLZ14,"An adaptive octree grid for GPU-based collision detection of deformable objects.",2014
239,journals/vc/PeyratTMG08,"Generating vast varieties of realistic leaves with parametric 2Gmap L-systems.",2008
240,journals/vc/CardinTV07,"A wearable system for mobility improvement of visually impaired people.",2007
241,journals/vc/ShatzTL06,"Paper craft models from meshes.",2006
242,journals/vc/JacobsNVL10,"Coherent radiance capture of scenes under changing illumination conditions for relighting applications.",2010
243,journals/vc/GuillouMMB00,"Using vanishing points for camera calibration and coarse 3D reconstruction from a single image.",2000
244,journals/vc/Taubin02,"Detecting and reconstructing subdivision connectivity.",2002
245,journals/vc/JuWCETCBK05,"Building 3D surface networks from 2D curve networks with application to anatomical modeling.",2005
246,journals/vc/ChenLOFT11,"Combined MR imaging towards subject-specific knee contact analysis.",2011
247,journals/vc/WangDMT13,"An immersive multi-agent system for interactive applications.",2013
248,journals/vc/LiH04,"A data management scheme for effective walkthrough in large-scale virtual environments.",2004
249,journals/vc/OngTT98,"Resolving occlusion in image sequence made easy.",1998
250,journals/vc/ZhangEP11,"Rapid scalar value classification and volume clipping for interactive 3D medical image visualization.",2011
251,journals/vc/RatibR85,"Detection of cardiac wall motion asynchrony by computer analysis techniques.",1985
252,journals/vc/YaoYH17,"A new sparse representation-based object segmentation framework.",2017
253,journals/vc/EmmerikRR93,"Simplifying interactive design of solid models: a hypertext approach.",1993
254,journals/vc/MaiseliBYGG18,"Robust cost function for optimizing chamfer masks.",2018
255,journals/vc/Magnenat-Thalmann16,"Welcome to the year 2016.",2016
256,journals/vc/PedersoliBAL14,"XKin: an open source framework for hand pose and gesture recognition using kinect.",2014
257,journals/vc/CamozzatoDSMM15,"Procedural floor plan generation from building sketches.",2015
258,journals/vc/AgarwalRP08,"Minimizing probable collision pairs searched in interactive animation authoring.",2008
259,journals/vc/JinLWFS06,"Mesh fusion using functional blending on topologically incompatible sections.",2006
260,journals/vc/Klassen93,"Short communication A Note on integer subdivision of NURBS.",1993
261,journals/vc/PanZZHQ15,"Metaballs-based physical modeling and deformation of organs for virtual surgery.",2015
262,journals/vc/GiorgiFSF10,"3D relevance feedback via multilevel relevance judgements.",2010
263,journals/vc/NahasHRD90,"Facial image synthesis using skin texture recording.",1990
264,journals/vc/SongPJX18,"Distance field guided $$L_1$$ L 1 -median skeleton extraction.",2018
265,journals/vc/BraquelaireV97,"A new antialiasing approach for image compositing.",1997
266,journals/vc/ZhaoO16,"Modeling 3D synthetic view dissimilarity.",2016
267,journals/vc/LarssonA03,"Efficient collision detection for models deformed by morphing.",2003
268,journals/vc/YooVNAB14,"Sketching human character animations by composing sequences from large motion database.",2014
269,journals/vc/WangTSCGS05,"Capturing and rendering geometry details for BTF-mapped surfaces.",2005
270,journals/vc/HuLDLX14,"Color face image decomposition under complex lighting conditions.",2014
271,journals/vc/LimS08,"A distance template for octree traversal in CPU-based volume ray casting.",2008
272,journals/vc/JafriAAF14,"Computer vision-based object recognition for the visually impaired in an indoors environment: a survey.",2014
273,journals/vc/Magnenat-ThalmannAK08,"Editorial to Special Issue INTUITION.",2008
274,journals/vc/PrusinkiewiczC85,"Hologram-like transmission of pictures.",1985
275,journals/vc/KimLK16,"Physics-inspired controllable flame animation.",2016
276,journals/vc/TangCME99,"A constrained inverse kinematics technique for real-time motion capture animation.",1999
277,journals/vc/FilhoA11,"Fast and versatile texture-based wireframe rendering.",2011
278,journals/vc/ParariEO09,"Shape-sensitive MLS deformation.",2009
279,journals/vc/BrichRFWBMDRSW17,"LiverDefense: how to employ a tower defense game as a customisable research tool.",2017
280,journals/vc/TaiL96,"Surface design via deformation of periodically swept surfaces.",1996
281,journals/vc/HerbertJT95,"Three-dimensional reconstruction of geoscientific objects from serial sections.",1995
282,journals/vc/LiYWH15,"Augmenting bag-of-words: a robust contextual representation of spatiotemporal interest points for action recognition.",2015
283,journals/vc/Hildebrandt16,"Image-based styling.",2016
284,journals/vc/AtteneBS03,"Shape understanding by contour-driven retiling.",2003
285,journals/vc/KleijB94,"Performance of scanline algorithms for direct display of CSG.",1994
286,journals/vc/Tapia92,"Chinese lattice designs and parametric shape grammars.",1992
287,journals/vc/WangZPQ14,"Depth map enhancement based on color and depth consistency.",2014
288,journals/vc/YoshidaMHOHY01,"Shigeki Yokoi, A technique for precise depth representation in stereoscopic display.",2001
289,journals/vc/HaciomerogluLD08,"Automatic spatial analysis and pedestrian flow control for real-time crowd simulation in an urban environment.",2008
290,journals/vc/Yamazaki88,"Mechatronics engineering education and dissemination program.",1988
291,journals/vc/AkkadMSS14,"Camera self-calibration with varying intrinsic parameters by an unknown three-dimensional scene.",2014
292,journals/vc/AristidouL13,"Real-time marker prediction and CoR estimation in optical motion capture.",2013
293,journals/vc/WangKXZXYR15,"Connectivity-preserving geometry images.",2015
294,journals/vc/FeinerS92,"Cutaways and ghosting: satisfying visibility constraints in dynamic 3D illustrations.",1992
295,journals/vc/SappaG07,"Generating compact representations of static scenes by means of 3D object hierarchies.",2007
296,journals/vc/SilveiraDSN10,"Natural steering behaviors for virtual pedestrians.",2010
297,journals/vc/WangPL11,"A deformation model to reduce the effect of expressions in 3D face recognition.",2011
298,journals/vc/Connolly87,"An application of algebraic topology to solid modeling in molecular biology.",1987
299,journals/vc/TangSXF12,"An improved image analogy method based on adaptive CUDA-accelerated neighborhood matching framework.",2012
300,journals/vc/NugjgarC13,"Markov-Type Vector Field for endless surface animation of water stream.",2013
301,journals/vc/Toussaint91,"Efficient triangulation of simple polygons.",1991
302,journals/vc/GongSYY13,"Find where you are: a new try in place recognition.",2013
303,journals/vc/WuK05,"Efficient spectral watermarking of large meshes with orthogonal basis functions.",2005
304,journals/vc/ProchazkaKYVG17,"Erratum to: Multi-camera systems use for dental arch shape measurement.",2017
305,journals/vc/X01,"Computer Graphics Society Issue.",2001
306,journals/vc/HirotaTK00,"Simulation of three-dimensional cracks.",2000
307,journals/vc/WalkerJLBWSSW15,"TimeClassifier: a visual analytic system for the classification of multi-dimensional time series data.",2015
308,journals/vc/KohoutK03,"Parallel Delaunay triangulation in E 3: make it simple.",2003
309,journals/vc/KengLC07,"An efficient caching-based rendering of translucent materials.",2007
310,journals/vc/FlorianiM95,"Horizon computation on a hierarchical triangulated terrain model.",1995
311,journals/vc/YuCHZ05,"Fast rendering of foveated volumes in wavelet-based representation.",2005
312,journals/vc/YokoiKT86,"Rendering gems with asterism or chatoyancy.",1986
313,journals/vc/HartLSDK93,"Scientific and artistic investigation of multi-dimensional fractals on the AT&T Pixel Machine.",1993
314,journals/vc/AltantsetsegMK14,"Pairwise matching of 3D fragments using fast fourier transform.",2014
315,journals/vc/KnollWH09,"Coherent multiresolution isosurface ray tracing.",2009
316,journals/vc/BatageloW08,"A framework for GPU-based application-independent 3D interactions.",2008
317,journals/vc/ZhangEP09,"High-quality cardiac image dynamic visualization with feature enhancement and virtual surgical tool inclusion.",2009
318,journals/vc/Sims93,"Interactive evolution of equations for procedural models.",1993
319,journals/vc/FrerichsVG17,"Biologically inspired simulation of livor mortis.",2017
320,journals/vc/RenGZPP13,"Inserting virtual pedestrians into pedestrian groups video with behavior consistency.",2013
321,journals/vc/CsurkaSMS11,"Building look & feel concept models from color combinations - With applications in image classification, retrieval, and color transfer.",2011
322,journals/vc/HuoYDB14,"Physiological inverse tone mapping based on retina response.",2014
323,journals/vc/AdelsonH93,"Stereoscopic ray-tracing.",1993
324,journals/vc/PatrikalakisK89,"Representation of piecewise continuous algebraic surface in terms of B-splines.",1989
325,journals/vc/Sourin01,"Functionally based virtual embossing.",2001
326,journals/vc/MyersZ92,"Environment for rapidly creating interactive design tools.",1992
327,journals/vc/LeeHK00,"Polygonal boundary approximation for a 2D general sweep based on envelope and boolean operations.",2000
